nid,latitude,longitude,distance
49621295,32.747719,-117.051338,4850.065
49621300,32.750263,-117.051208,4584.618
2853906798,32.7707773,-117.0762274,1751.126
49097090,32.758923,-117.053032,4225.842
49097095,32.759678,-117.052582,4103.069
1190472074,32.7551459,-117.1136211,4389.043
1190472088,32.7552571,-117.1093995,3978.556
1190472107,32.7551572,-117.114726,4687.188
1190472111,32.7551078,-117.1093329,3982.364
1190472115,32.7552541,-117.1082817,3874.007
49359421,32.7513408,-117.0890498,2813.908
49359423,32.7565,-117.088989,2056.121
49359456,32.748352,-117.088577,2931.274
49359472,32.75938,-117.046013,4727.351
49359493,32.7687981,-117.0448555,4373.259
49359496,32.76981,-117.044884,4484.601
49359503,32.757847,-117.045753,4944.862
49359505,32.759373,-117.045517,4773.738
49162950,32.751114,-117.049187,4869.475
49162957,32.751503,-117.048569,4942.941
49162961,32.751659,-117.048126,4988.417
49162967,32.752052,-117.047867,4938.621
49162983,32.754818,-117.047707,4625.653
49162984,32.7552107,-117.0475665,4595.018
49687281,32.765755,-117.08168,81.178
4592905102,32.7531943,-117.1034961,3642.789
2138450863,32.7478122,-117.0747044,2629.818
2138450883,32.7475226,-117.0746618,2664.6
49097879,32.732212,-117.085861,4378.071
49097882,32.732048,-117.085037,4460.632
49360034,32.776154,-117.085121,3097.216
49360039,32.77623,-117.082977,2893.244
49360045,32.776234,-117.082153,2815.605
49360051,32.775719,-117.081146,2703.894
49098011,32.764347,-117.0494,4122.858
49098012,32.764786,-117.0494,4074.043
49098049,32.753181,-117.101936,3496.883
