from,to,length,base_speed,oneway
49539079,49480060,87.462,25.0,False
49480065,49480060,42.836999999999996,25.0,False
49480067,49480065,202.317,25.0,False
49334534,49480065,133.194,25.0,False
49480069,49480067,200.655,25.0,False
49539081,49480067,133.162,25.0,False
49634591,49480067,133.107,25.0,False
49539086,49480069,109.396,25.0,False
49634592,49480069,136.961,25.0,False
49312320,49480072,86.4,25.0,False
49498010,49480072,83.825,25.0,False
49312318,49480072,386.907,25.0,False
2481834428,49152398,11.383,25.0,False
49152398,49082356,585.5299999999999,25.0,True
392003524,49152398,270.76599999999996,25.0,False
49098668,49152398,110.148,25.0,True
49414559,49414549,112.27799999999999,25.0,False
49098672,49152413,156.774,50.0,False
2481834428,49152413,351.10400000000004,25.0,False
49082370,49152413,1043.806,50.0,False
48864712,49152413,232.19299999999998,25.0,False
49217951,49217950,199.829,25.0,False
49099659,49217950,90.671,25.0,False
49304242,49217950,2.9,25.0,False
49216132,49414559,115.162,25.0,False
49379285,49414559,191.924,25.0,False
49442656,49414559,190.851,25.0,False
49217953,49217951,196.391,25.0,False
49099660,49217951,92.83,25.0,False
2850005685,49217953,48.326,25.0,False
49581045,49217953,92.08,25.0,False
49551761,49217956,200.435,25.0,False
49564573,49414570,113.53299999999999,25.0,False
49564571,49414570,52.268,25.0,False
49216132,49414570,91.835,25.0,False
49086898,49086893,106.134,25.0,False
49119660,49086893,222.72,25.0,False
49119646,49086893,290.568,25.0,False
49258383,49086898,176.465,25.0,False
49086903,49086898,151.619,25.0,False
49184424,49086898,231.72,25.0,False
49061001,49152437,80.77600000000001,25.0,False
49434458,49152437,152.47899999999998,25.0,False
4934699594,49152437,95.978,25.0,False
49306352,49086903,76.805,25.0,False
49258383,49086903,160.509,25.0,False
49395839,49152440,189.667,25.0,False
49395836,49152440,122.042,25.0,False
49331750,49152440,97.302,25.0,False
49085233,49480120,186.69799999999998,25.0,False
49659690,49480120,86.976,25.0,False
1130207516,49480120,418.16900000000004,25.0,False
49084441,49217979,79.192,25.0,False
49243027,49217979,91.51700000000001,25.0,False
49243006,49217979,235.503,25.0,False
357564863,357564863,120.59699999999998,25.0,False
3877629704,357564863,730.1030000000002,25.0,False
49152458,49152448,285.703,25.0,False
49152448,49259544,167.62099999999995,25.0,True
49259544,49152448,170.30900000000003,25.0,True
48951912,49152448,110.655,25.0,False
49414604,49414600,86.26400000000002,25.0,False
49092202,49283530,202.713,25.0,False
49283560,49283530,586.951,25.0,False
48930844,49283530,85.291,25.0,False
49152460,49152458,13.572000000000001,25.0,False
49350969,49152458,39.813,25.0,False
49309119,49152458,66.10600000000001,25.0,False
49350124,49414604,71.256,25.0,False
49414610,49414604,119.782,25.0,False
5234033116,5234033112,10.09,25.0,False
5234033112,5234033114,48.294,25.0,True
5234033137,5234033112,119.175,25.0,False
5234033114,5234033115,12.808,25.0,True
5234033114,5234033115,126.81900000000002,25.0,True
5234033118,5234033114,10.433,25.0,True
5234033115,5234033119,11.093,25.0,True
5234033138,5234033116,122.822,25.0,False
5234033118,5234033116,48.178000000000004,25.0,True
49146384,49146396,185.993,25.0,False
49146384,49146396,284.903,25.0,False
49611339,49146396,83.015,25.0,False
5234033119,5234033118,12.714,25.0,True
5234033128,5234033118,207.407,25.0,True
5234033119,5234033128,203.82,25.0,True
5234033132,5234033120,31.663,25.0,False
5234033138,5234033120,55.251000000000005,25.0,False
5234033137,5234033120,448.999,25.0,False
49414635,49414625,103.273,25.0,False
49391974,49414625,65.307,25.0,False
49282009,49414625,365.19199999999995,25.0,False
5234033137,5234033126,20.151,25.0,False
49522521,49283560,124.699,25.0,False
49283564,49283560,126.612,25.0,False
49091074,5234033128,18.777,25.0,False
49091074,5234033128,467.806,25.0,True
5234033128,1923492582,154.921,25.0,True
49145816,49283564,57.06,25.0,False
49283566,49283564,72.502,25.0,False
49365285,49283564,57.86,25.0,False
49459519,49283566,101.795,25.0,False
49283570,49283566,71.781,25.0,False
49598608,49152496,61.757,25.0,False
49152502,49152496,537.1569999999998,25.0,False
49680620,49152496,179.02999999999997,25.0,False
49409605,49283570,58.707,25.0,False
49320585,49283570,86.345,25.0,False
3402597960,49283570,170.59400000000005,25.0,False
5234033139,5234033138,61.123999999999995,25.0,False
5234033141,5234033139,44.732,25.0,False
5234033140,5234033139,24.316999999999997,25.0,False
49106243,49480180,201.335,25.0,False
49539114,49480180,135.60399999999998,25.0,False
49623133,49480180,133.509,25.0,False
49152504,49152502,179.69400000000005,25.0,False
49214890,49152502,129.45600000000002,25.0,False
49429097,49152502,334.648,25.0,False
5349975287,49021430,1926.941,25.0,False
507960160,49021430,483.841,25.0,False
49075915,49021430,942.346,25.0,False
5234033149,5234033142,156.66899999999998,25.0,False
49171711,49611257,114.83200000000001,25.0,False
49111894,5234033149,359.81899999999985,25.0,False
49111866,5234033149,767.6740000000002,25.0,False
49178711,49283582,200.042,25.0,False
49079512,49283582,328.7449999999999,25.0,False
3403972551,49283582,188.75099999999998,25.0,False
49634563,49480196,58.273999999999994,25.0,False
49254106,49480196,121.92300000000002,25.0,False
49282750,49480196,159.023,25.0,False
5755407143,49480196,75.406,25.0,False
49152520,49152520,96.863,25.0,False
49152541,49152520,73.889,25.0,False
49146424,49146406,347.08099999999996,25.0,False
49099048,49146406,256.254,25.0,False
49433674,49146406,70.543,25.0,False
49079512,49283604,6.462000000000001,25.0,False
49693036,49283604,48.79,25.0,False
49259585,49283604,205.50599999999997,25.0,False
49152542,49152541,28.028000000000002,25.0,False
49287906,49152541,112.704,25.0,False
49093456,49152542,44.451,25.0,False
49295787,49152542,170.798,25.0,False
49077436,49283614,175.274,25.0,False
49283614,49283617,106.415,25.0,True
49283613,49283614,197.179,25.0,False
5861073238,49283614,303.052,25.0,True
49077435,49283613,194.415,25.0,False
49283613,1811066329,150.562,25.0,True
1811066331,49283613,143.054,25.0,True
49420033,49283617,399.965,25.0,False
49283617,49283620,195.87,25.0,True
49611300,49611299,51.688,25.0,False
49283620,5861073231,10.006,25.0,True
49283620,49706100,43.895,25.0,True
5861073238,49283620,12.492,25.0,True
49283623,49283621,153.029,25.0,False
49359351,49283621,534.401,25.0,False
49283621,5861073229,210.18200000000002,25.0,True
5861073231,49283621,210.841,25.0,True
49213615,49611300,64.91,25.0,False
49634840,49611300,61.92,25.0,False
49109582,49283623,137.914,25.0,False
49416795,49283623,149.79999999999995,25.0,False
49344036,49283624,54.225,25.0,False
49283624,49283625,28.821,25.0,True
5861073249,49283624,28.866,25.0,True
49283625,1955606152,64.523,25.0,True
49283625,49013024,337.07000000000005,25.0,True
49229498,49611303,280.811,25.0,False
49521963,49611303,97.749,25.0,False
49292610,49611303,29.932,25.0,False
49152567,49152561,103.969,25.0,False
49283635,1228816142,101.346,25.0,True
5861073252,49283635,120.495,25.0,False
49262821,49283635,218.064,25.0,False
49092198,49283635,248.41200000000003,25.0,False
49283638,49283635,100.31700000000001,25.0,True
49158889,49218100,75.623,25.0,False
49132026,49218100,108.832,25.0,False
49132008,49218100,148.02200000000002,25.0,False
1228816142,49283638,12.78,25.0,False
49079547,49283638,158.1,25.0,False
1228816211,49283638,166.1,25.0,True
49525711,49152567,67.063,25.0,False
49541374,49152567,197.602,25.0,False
49051669,49611320,114.579,25.0,False
1228816060,49283641,13.013,25.0,False
49283641,1228816211,34.385999999999996,25.0,True
49092200,49283641,194.93,25.0,False
48930844,49283641,71.196,25.0,True
49132026,49218107,76.90899999999999,25.0,False
49283656,49283646,114.063,25.0,False
49309401,49283646,317.89799999999997,25.0,False
49363076,49283646,185.588,25.0,False
6255280702,1724756450,187.318,45.0,True
278076838,6255280702,626.6439999999999,25.0,True
1724753056,6255280702,111.06200000000001,45.0,True
6255280707,2789635383,49.86,25.0,True
6255280707,2789635405,21.061999999999998,25.0,True
