from,to,length
49087215,49087213,170.021
49069501,5950407408,91.564
49124790,49087215,233.079
49087219,49087215,347.156
49087220,49087219,16.403
49104521,49087219,309.466
49087221,49087220,185.497
49124793,49087220,132.531
4633488681,49087221,96.765
49087222,49087221,241.903
49688726,49087222,85.485
49087223,49087222,249.757
49232815,49087223,285.125
1229993335,49087223,430.87
49723084,49152761,191.315
49152780,49152761,410.838
49152793,49152761,332.46
49309969,49152761,209.691
49141805,287376123,116.446
49492925,49742587,97.559
49299362,49414913,75.132
49656032,49414913,296.638
49526521,49414913,140.506
49493032,49087240,162.013
49087241,49087240,197.863
1229993335,49087240,266.552
49283850,49283849,145.11
49476091,49283849,99.219
49518616,49283849,79.244
49027314,49283850,100.918
49476092,49283850,99.23
49259659,49283850,58.895
49680575,49087241,807.424
4591514044,49087241,198.297
49309986,49152780,75.765
49309972,49152780,386.289
49112607,49349385,122.723
49454666,49087246,200.149
49087248,49087246,114.992
49304067,49087246,126.34
49124079,49087246,187.955
49367643,49152783,42.353
49112234,49152783,184.197
49051669,49152783,355.179
49556462,49087248,198.873
49087250,49087248,114.617
49124080,49087248,189.82
49527134,49087250,200.264
49087252,49087250,116.102
49124081,49087250,189.365
49556468,49087252,200.593
49087254,49087252,117.307
49124082,49087252,188.142
49152791,49152789,95.873
49112234,49152789,14.977
49244182,49152789,198.434
49064423,49283861,47.879
49283861,1364076167,28.764
1364076172,49283861,30.832
49152793,49152791,70.642
49723083,49152791,188.154
49508428,49283863,79.261
49108100,49283863,13.046
49064423,49283863,101.409
49723084,49152793,192.17
49502142,49087254,201.812
49087256,49087254,116.885
49124086,49087254,168.707
49556475,49087256,202.072
49087258,49087256,112.376
49124089,49087256,178.995
49386265,49087258,201.201
49087260,49087258,118.749
49124090,49087258,194.646
4619366288,4619371293,138.686
4601390290,4619371293,117.921
6335098638,4619371293,494.935
49300453,49087260,202.162
49087262,49087260,126.552
2450051544,49087260,120.322
49113854,49480477,60.703
49064043,49480477,105.181
49435206,49480477,116.129
3629965983,358286110,34.89
49321122,358286110,162.179
49207051,358286110,204.725
49267735,49087265,49.499
49087268,49087265,115.667
49087264,49087265,125.928
49556484,49087262,155.399
49087264,49087262,127.495
49677091,49313719,83.322
49677091,49099167,120.251
49295400,49677091,85.192
49337548,49677091,112.132
49227246,49087264,101.723
49480482,49480481,167.13
49480481,49243371,464.041
49337695,49480481,115.808
49480484,49480482,178.136
49582827,49480482,114.425
49337696,49480482,115.713
276103971,49757077,748.812
276243614,276103971,1064.689
49757053,276103971,966.52
49052325,49480484,176.023
49538980,49480484,113.669
49337698,49480484,115.821
49087270,49087269,77.082
49087268,49087269,82.987
49115005,49087269,53.297
49115007,49087269,240.677
49087271,49087270,77.618
49124530,49087270,51.91
49124532,49087270,242.102
49559272,49087271,123.561
49053740,49087271,36.06
49076635,49087272,30.034
49087282,49087272,537.748
49269684,49087272,346.813
48904950,49152813,187.142
49152959,49152813,16.123
49152817,49152813,102.691
48968751,49480487,102.005
49021910,49480487,59.407
49052325,49480487,177.246
49229717,49152817,203.153
49144754,49152817,200.151
49152819,49152817,100.634
49238576,49087282,38.483
49087299,49087282,451.903
49616180,49152819,203.153
49144756,49152819,200.596
49152823,49152819,98.458
49414968,49414966,78.919
49049844,49414966,48.988
49375614,49414966,313.641
49174531,49152823,201.786
49144761,49152823,201.706
49152827,49152823,97.99
49498516,49414968,67.081
49415074,49414968,82.383
49152967,49152827,54.588
49249698,49152827,202.053
49414976,49414978,84.016
49414976,49099163,116.636
49426598,49414976,114.089
49344772,49414976,86.431
380183763,49152833,57.164
49152833,49152935,79.261
49414978,49295395,85.038
49414978,49746189,114.989
49099164,49414978,116.511
49087303,49087299,224.197
49056236,49087299,172.683
49096121,49087299,154.485
380183763,49152836,59.081
380183763,49152836,332.628
49428910,49152836,207.94
49152839,49152836,115.61
49414980,49313714,85.421
49414980,49746191,117.704
49295395,49414980,84.894
49099167,49414980,116.428
49393239,49152839,207.873
380183764,49152839,50.286
49118053,49152839,114.936
49414983,49099170,114.979
49414983,1357333682,78.728
49120834,49414983,84.402
49466663,49414983,116.209
49398928,49480522,211.291
49376943,49480522,92.078
49625712,49480522,81.443
49338427,49480522,165.468
49515219,49152843,207.777
49144741,49152843,208
49152846,49152843,115.609
49118053,49152843,115.506
49582802,49414989,116.202
49061908,49414989,145.193
49337746,49414989,84.978
49099173,49414989,115.424
49152847,49152846,57.52
49352691,49152846,207.724
49144742,49152846,207.873
4626056025,4626056015,141.985
49338427,49480529,42.087
49704260,49480529,115.362
49480534,49480529,108.537
49480539,49480534,110.341
49284101,49480534,259.845
49095721,4626056025,351.63
49172347,4626056025,107.702
49631908,49152858,207.51
49152862,49152858,117.099
49144827,49152858,208.735
49617012,49480539,100.689
49617011,49480539,74.969
49081744,49480539,423.823
